#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,BS-1,ISDB-S,,,xxx[kHz](),hex,,,,,,,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[TS-ID],,,,,,,,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,BS-1-151,ISDB-S,151,,1049480,0x4010,,,,,,,,,0x0120,0x0100,mpeg2,0x0110,aac,29.97
,INZ,BS-1-152,ISDB-S,152,,1049480,0x4010,,,,,,,,,0x0120,0x0100,mpeg2,0x0114,aac,29.97
,INZ,BS-1-161,ISDB-S,161,,1049480,0x4011,,,,,,,,0x00A1,0x0130,0x0111,mpeg2,0x0114,aac,29.97
,INZ,BS-1-162,ISDB-S,162,,1049480,0x4011,,,,,,,,0x00A2,0x0130,0x0111,mpeg2,0x0114,aac,29.97
,INZ,BS-1-165,ISDB-S,165,,1049480,0x4011,,,,,,,,0x00A5,0x01FF,0x0300,mpeg2,0x0310,aac,29.97
#,INZ,740,ISDB-S,,,1049480,0x4011,,,,,,,,0x02E4,0x0130,,,,,
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,BS-9,ISDB-S,,,xxx[kHz](),hex,,,,,,,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[TS-ID],,,,,,,,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,BS-9-200,ISDB-S,200,,1202920,0x4090,,,,,,,,0x00C8,0x111,0x140,mpeg2,0x141,aac,29.97
,INZ,BS-9-211,ISDB-S,211,,1202920,0x4091,,,,,,,,,0x111,0x140,mpeg2,0x141,aac,29.97
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,BS-15,ISDB-S,,,xxx[kHz](),hex,,,,,,,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[TS-ID],,,,,,,,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,BS-15-111,ISDB-S,111,,1318000,0x40F1,,,,,,,,,0x00FF,0x0100,mpeg2,0x0110,aac,29.97
,INZ,BS-15-113,ISDB-S,113,,1318000,0x40F2,,,,,,,,0x0071,0x0215,0x0119,mpeg2,0x0218,aac,29.97
,INZ,BS-15-114,ISDB-S,114,,1318000,0x40F2,,,,,,,,0x0072,0x0215,0x0119,mpeg2,0x0215,aac,29.97
,INZ,BS-15-115,ISDB-S,115,,1318000,0x40F2,,,,,,,,0x0073,0x0215,0x0119,mpeg2,0x0216,aac,29.97
,INZ,BS-15-116,ISDB-S,116,,1318000,0x40F2,,,,,,,,0x0074,0x0215,0x0119,mpeg2,0x0217,aac,29.97
,INZ,BS-15-117,ISDB-S,117,,1318000,0x40F2,,,,,,,,0x0075,0x0231,0x0230,mpeg2,0x0220,aac,29.97
,INZ,BS-15-170,ISDB-S,170,,1318000,0x40F2,,,,,,,,0x00AA,0x0211,0x0240,mpeg2,0x0241,aac,29.97
#,INZ,300,ISDB-S,300,,1318000,0x40F2,,,,,,,,0x012C,0x0511,,,0x0540,,29.97
,INZ,791,ISDB-S,791,,1318000,0x40F2,,,,,,,,0x0317,0x0000,0x0000,mpeg2,0x0650,aac,29.97
,INZ,792,ISDB-S,792,,1318000,0x40F2,,,,,,,,0x0318,0x0000,0x0000,mpeg2,0x0220,aac,29.97
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,J-14,ISDB-T,,,xxx[kHz](),,,,,,,,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],,,,,,,,,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,J-14-011,ISDB-T,15,1,479142,,,,,,,,,0x0400,0x0150,0x0200,mpeg2,0x0300,aac,29.97
,INZ,J-14-012,ISDB-T,15,2,479142,,,,,,,,,0x0401,0x0150,0x0201,mpeg2,0x0301,aac,29.97
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,J-27,ISDB-T,,,xxx[kHz](),,,,,,,,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],,,,,,,,,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,J-27-071,ISDB-T,28,1,557142,,,,,,,,,0x0418,0x0150,0x0200,mpeg2,0x0300,aac,29.97
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,J-49,ISDB-T,,,xxx[kHz](),,,,,,,,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],,,,,,,,,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,J-49-031,ISDB-T,50,1,689142,,,,,,,,,0x5408,0x0150,0x0200,mpeg2,0x0300,aac,29.97
,INZ,J-49-032,ISDB-T,50,2,689142,,,,,,,,,0x5409,0x0150,0x0201,mpeg2,0x0301,aac,29.97
,INZ,J-49-033,ISDB-T,50,3,689142,,,,,,,,,0x540A,0x0150,0x0201,mpeg2,0x0301,aac,29.97
,INZ,FSJ-49-033,ISDB-T,50,4,689142,,,,,,,,,,0x0150,0x0202,mpeg2,0x0302,aac,29.97
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,US-30,ATSC,,,xxx[kHz](),8vsb|64qam|256qam,,,,,,,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[Modulation],,,,,,,,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,US-30-30.3,ATSC,30,3,569142,8VSB,,,,,,,,0x0003,0x0031,0x0031,mpeg2,0x0034,ac3,29.97
,INZ,FSUS-30.3,ATSC,30,3,569000,8VSB,,,,,,,,,0x0031,0x0031,mpeg2,0x0034,ac3,29.97
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,US-61,ATSC,,,xxx[kHz](),8vsb|64qam|256qam,,,,,,,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[Modulation],,,,,,,,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,US-61-35.1,ATSC,61,1,755142,8VSB,,,,,,,,0x0001,0x0011,0x0011,mpeg2,0x0014,ac3,29.97
,INZ,US-61-35.2,ATSC,61,2,755142,8VSB,,,,,,,,0x0002,0x0021,0x0021,mpeg2,0x0024,ac3,29.97
,INZ,US-61-35.3,ATSC,61,3,755142,8VSB,,,,,,,,0x0003,0x0031,0x0031,mpeg2,0x0034,ac3,29.97
,INZ,FSUS-35.1,ATSC,61,1,755000,8VSB,,,,,,,,,0x0011,0x0011,mpeg2,0x0014,ac3,29.97
,INZ,FSUS-35.2,ATSC,61,2,755000,8VSB,,,,,,,,,0x0021,0x0021,mpeg2,0x0024,ac3,29.97
,INZ,FSUS-35.3,ATSC,61,3,755000,8VSB,,,,,,,,,0x0131,0x0031,mpeg2,0x0034,ac3,29.97
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,US-66C,ATSC,,,xxx[kHz](),8vsb|64qam|256qam,,,,,,,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[Modulation],,,,,,,,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,FSUS-999.1,ATSC,66,1,477000,256qam,,,,,,,,0x0001,0x0011,0x0011,mpeg2,0x0014,mpeg-audio,29.97
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,US-68C,ATSC,,,xxx[kHz](),8vsb|64qam|256qam,,,,,,,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[Modulation],,,,,,,,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,FSUS-68.1,ATSC,68,1,489000,256qam,,,,,,,,0x0001,0x0011,0x0011,mpeg2,0x0014,ac3,29.97
,INZ,FSUS-68.2,ATSC,68,2,489000,256qam,,,,,,,,0x0002,0x0021,0x0021,mpeg2,0x0024,ac3,29.97
,INZ,FSUS-68.7,ATSC,68,7,489000,256qam,,,,,,,,0x0007,0x0071,0x0071,mpeg2,0x0074,ac3,29.97
,INZ,FSUS-68.8,ATSC,68,8,489000,256qam,,,,,,,,0x0008,0x0081,0x0081,mpeg2,0x0084,ac3,29.97
,INZ,FSUS-68.15,ATSC,68,15,489000,256qam,,,,,,,,0x000F,0x00f1,0x00f1,mpeg2,0x00f4,ac3,29.97
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,E-52,DVB-T,,,xxx[kHz](),8/7/6[MHz},,,,,,on/off,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[Bandwidth],,,,,,[LNA],,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,E-52-800,DVB-T,800,,722000,8,,,,,,on,,0x1451,0x0065,0x0065,mpeg2,0x0066,mpeg-audio,25
,INZ,E-52-801,DVB-T,801,,722000,8,,,,,,on,,0x1452,0x00C9,0x00C9,avc,0x00CA,mpeg-audio,25
,INZ,E-52-802,DVB-T,802,,722000,8,,,,,,on,,0x1453,0x012D,0x012D,avc,0x012E,mpeg-audio,25
,INZ,E-52-803,DVB-T,803,,722000,8,,,,,,on,,0x1454,0x0191,0x0191,avc,0x0192,mpeg-audio,25
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,E-68,DVB-T,,,xxx[kHz](),8/7/6[MHz},,,,,,on/off,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[Bandwidth],,,,,,[LNA],,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,E-68-005,DVB-T,5,,850000,8,,,,,,on,,0x3242,0x1781,0x1781,mpeg2,0x1782,mpeg-audio,25
,INZ,E-68-015,DVB-T,15,,850000,8,,,,,,on,,0x3780,0x18F1,0x18F1,mpeg2,0x18F2,mpeg-audio,25
,INZ,E-68-016,DVB-T,16,,850000,8,,,,,,on,,0x3340,0x17A1,0x17A1,mpeg2,0x17A2,mpeg-audio,25
#,INZ,17,DVB-T,17,,850000,8,,,,,,on,,0x3CC0,0x1961,,,,,25
,INZ,E-68-023,DVB-T,23,,850000,8,,,,,,on,,0x37C0,0x1881,0x1881,mpeg2,0x1882,mpeg-audio,25
,INZ,E-68-024,DVB-T,24,,850000,8,,,,,,on,,0x3D00,0x1971,0x1971,mpeg2,0x1972,mpeg-audio,25
#,INZ,25,DVB-T,25,,850000,8,,,,,,on,,0X3A00,0x18E1,,,,,25
#,INZ,26,DVB-T,26,,850000,8,,,,,,on,,0x3A80,0x1911,,,,,25
#,INZ,27,DVB-T,27,,850000,8,,,,,,on,,0x3B40,0x1931,,,,,25
,INZ,E-68-028,DVB-T,28,,850000,8,,,,,,on,,0x3B00,0x1921,0x1921,mpeg2,0x1922,mpeg-audio,25
,INZ,E-68-029,DVB-T,29,,850000,8,,,,,,on,,0x3E40,0x19C1,0x19C1,mpeg2,0x19C2,mpeg-audio,25
#,INZ,33,DVB-T,33,,850000,8,,,,,,on,,0x3E80,0x19D1,,,,,25
#,INZ,36,DVB-T,36,,850000,8,,,,,,on,,0x3D40,0x0B00,,,,,25
,INZ,E-68-072,DVB-T,72,,850000,8,,,,,,on,,0x3AC0,0x1901,0x1901,mpeg2,0x1902,mpeg-audio,25
,INZ,E-68-073,DVB-T,73,,850000,8,,,,,,on,,0x3C80,0x1951,0x1951,mpeg2,0x1952,mpeg-audio,25
#,INZ,74,DVB-T,74,,850000,8,,,,,,on,,0x3EC0,0x19E1,,,,,25
#,INZ,84,DVB-T,84,,850000,8,,,,,,on,,0x3EC0,0x19B1,,,0x19C0,,25
#,INZ,88,DVB-T,88,,850000,8,,,,,,on,,0x3DC0,0x19A1,,,,,25
#,INZ,97,DVB-T,97,,850000,8,,,,,,on,,0x3B80,0x1941,,,,,25
#,INZ,98,DVB-T,98,,850000,8,,,,,,on,,,0x0B00,,,,,25
,INZ,E-68-101,DVB-T,101,,850000,8,,,,,,on,,0x39C0,0x18D2,0x0000,mpeg2,0x18D2,mpeg-audio,25
,INZ,E-68-700,DVB-T,700,,850000,8,,,,,,on,,0x3800,0x1842,0x0000,mpeg2,0x1842,mpeg-audio,25
,INZ,E-68-702,DVB-T,702,,850000,8,,,,,,on,,0x3840,0x1852,0x0000,mpeg2,0x1852,mpeg-audio,25
,INZ,E-68-703,DVB-T,703,,850000,8,,,,,,on,,0x3880,0x1862,0x0000,mpeg2,0x1862,mpeg-audio,25
,INZ,E-68-704,DVB-T,704,,850000,8,,,,,,on,,0x38C0,0x1872,0x0000,mpeg2,0x1872,mpeg-audio,25
,INZ,E-68-714,DVB-T,714,,850000,8,,,,,,on,,0x3900,0x18A2,0x0000,mpeg2,0x18A2,mpeg-audio,25
,INZ,E-68-721,DVB-T,721,,850000,8,,,,,,on,,0x3940,0x18B2,0x0000,mpeg2,0x18B2,mpeg-audio,25
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,AU-11,DVB-T,,,xxx[kHz](),8/7/6[MHz},,,,,,on/off,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[Bandwidth],,,,,,[LNA],,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,AU-11-091,DVB-T,91,,219500,7,,,,,,on,,0x0001,0x0080,0x0210,mpeg2,0x0211,ac3,25
,INZ,AU-11-093,DVB-T,93,,219500,7,,,,,,on,,0x0002,0x0080,0x0220,mpeg2,0x0221,mpeg-audio,25
,INZ,AU-11-094,DVB-T,94,,219500,7,,,,,,on,,0x0003,0x0080,0x0220,mpeg2,0x0221,mpeg-audio,25
,INZ,AU-11-095,DVB-T,95,,219500,7,,,,,,on,,0x0004,0x0080,0x0220,mpeg2,0x0221,mpeg-audio,25
,INZ,AU-11-096,DVB-T,96,,219500,7,,,,,,on,,0x0005,0x0080,0x0220,mpeg2,0x0221,mpeg-audio,25
,INZ,AU-11-097,DVB-T,97,,219500,7,,,,,,on,,0x0006,0x0080,0x0220,mpeg2,0x0221,mpeg-audio,25
,INZ,AU-11-098,DVB-T,98,,219500,7,,,,,,on,,0x0007,0x0080,0x0220,mpeg2,0x0221,mpeg-audio,25
,INZ,AU-11-099,DVB-T,99,,219500,7,,,,,,on,,0x0008,0x0080,0x0220,mpeg2,0x0221,mpeg-audio,25
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,US-40,DVB-T,,,xxx[kHz](),8/7/6[MHz},,,,,,on/off,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[Bandwidth],,,,,,[LNA],,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,US-40-201,DVB-T,201,,629000,6,,,,,,on,,0x00C9,0x07DB,0x07DB,mpeg2,0x07DC,mpeg-audio,29.97
,INZ,US-40-202,DVB-T,202,,629000,6,,,,,,on,,0x00CA,0x07E5,0x07E5,mpeg2,0x07E6,mpeg-audio,29.97
#,INZ,204,DVB-T,204,,629000,6,,,,,,on,,0x00CC,,,,,,
#,INZ,205,DVB-T,205,,629000,6,,,,,,on,,0x00CD,,,,,,
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,US-51,DVB-T,,,xxx[kHz](),8/7/6[MHz},,,,,,on/off,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[Bandwidth],,,,,,[LNA],,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,US-51-400,DVB-T,400,,695000,6,,,,,,on,,0x0190,0x0FA1,0x0FA2,mpeg2,0x0FA3,mpeg-audio,29.97
,INZ,US-51-401,DVB-T,401,,695000,6,,,,,,on,,0x0191,0x0FB1,0x0FAB,mpeg2,0x0FAC,mpeg-audio,29.97
,INZ,US-51-404,DVB-T,404,,695000,6,,,,,,on,,0x0194,0x0FA1,0x0000,mpeg2,0x0FCA,mpeg-audio,29.97
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,US-65,DVB-T,,,xxx[kHz](),8/7/6[MHz},,,,,,on/off,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[Bandwidth],,,,,,[LNA],,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,US-65-200,DVB-T,200,,779000,6,,,,,,on,,0x00C8,0x07D1,0x07D1,avc,0x07D2,heaac,29.97
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,C-17,DTMB,,,xxx[kHz](),single/multi,constant/various,pn420/pn595/pn945,4qam/4qamnr/16qam/32qam/64qam,0.4/0.6/0.8,240/720,on/off,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[Carrier],[PnSequence],[GuardInterfal],[Modulation],[CodeRate],[TimeInterleaver],[LNA],,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,C-17-801,DTMB,801,,506000,single,constant,pn595,16qam,0.8,720,on,,0x0321,0x0201,0x0201,mpeg2,0x0294,ac3,25
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,C-53,DTMB,,,xxx[kHz](),single/multi,constant/various,pn420/pn595/pn945,4qam/4qamnr/16qam/32qam/64qam,0.4/0.6/0.8,240/720,on/off,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[Carrier],[PnSequence],[GuardInterfal],[Modulation],[CodeRate],[TimeInterleaver],[LNA],,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,C-53-601,DTMB,601,,834000,multi,various,pn420,16qam,0.8,720,on,,0x0259,0x0080,0x0200,mpeg2,0x028A,mpeg-audio,25
,INZ,C-53-602,DTMB,602,,834000,multi,various,pn420,16qam,0.8,720,on,,0x025A,0x0081,0x0201,mpeg2,0x0294,mpeg-audio,25
,INZ,C-53-603,DTMB,603,,834000,multi,various,pn420,16qam,0.8,720,on,,0x025B,0x0082,0x0202,mpeg2,0x029E,mpeg-audio,25
,INZ,C-53-604,DTMB,604,,834000,multi,various,pn420,16qam,0.8,720,on,,0x025C,0x0083,0x0203,mpeg2,0x02A8,mpeg-audio,25
,INZ,C-53-605,DTMB,605,,834000,multi,various,pn420,16qam,0.8,720,on,,0x025D,0x0084,0x0204,mpeg2,0x02B2,mpeg-audio,25
,INZ,C-53-606,DTMB,606,,834000,multi,various,pn420,16qam,0.8,720,on,,0x025E,0x0085,0x0205,mpeg2,0x02BC,mpeg-audio,25
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,HKG-37,DTMB,,,xxx[kHz](),single/multi,constant/various,pn420/pn595/pn945,4qam/4qamnr/16qam/32qam/64qam,0.4/0.6/0.8,240/720,on/off,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[Carrier],[PnSequence],[GuardInterfal],[Modulation],[CodeRate],[TimeInterleaver],[LNA],,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
